7659.14,7659.0,7658.05,0.008416,0.872288,3.0
7660.75,7660.73,7660.03,0.011118,0.781348,0.026482
7658.06,7658.05,7658.0,0.385128,3.0,0.087376
7658.07,7658.06,7658.0,0.046992,0.046218,0.087376
7658.13,7658.12,7658.11,2.9e-05,1.963688,0.686438
7658.15,7658.11,7658.0,0.009759,0.672621,0.033878
7655.14,7655.1,7655.02,0.051,0.494684,0.5
7658.99,7658.98,7657.12,4.661073,0.218872,1.6e-05
7655.12,7655.1,7655.01,1.813115,0.322443,3.0
7655.12,7655.1,7655.02,1.453344,0.040474,0.045794
7652.22,7652.21,7651.32,2.0,0.043324,0.01307
7653.29,7653.0,7652.99,0.017413,4.741104,0.028053
7657.84,7655.0,7654.05,3.2e-05,0.629236,0.063
7655.08,7655.07,7655.05,0.084768,0.051,2.305501
7662.5,7662.01,7661.0,1.111034,0.02302,0.2
7664.63,7662.02,7662.01,0.371517,0.052164,2.941818
7667.99,7667.33,7667.0,1.568861,0.003539,0.207382
7664.65,7664.63,7663.74,0.232749,0.029884,3.0
7660.33,7659.88,7659.0,0.052059,0.009734,0.004068
7660.33,7660.0,7659.88,0.75715,0.186779,1.271233
7664.62,7661.0,7660.9,0.385853,0.102677,0.084079
